Numerical Feature name,min,max,average,std,variance,median,# missing values,# total number of values,Instrument,Description,Type,Values,Values label
BIA-BIA_ICW,14.489,2457.91,33.17337985936716,56.27234630488634,3166.5769586570555,28.8558,1969,3960,Bio-electric Impedance Analysis,Intracellular Water,float,,
BIA-BIA_LDM,4.63581,3108.17,20.022990050226017,70.21561035107574,4930.231936974094,16.4388,1969,3960,Bio-electric Impedance Analysis,Lean Dry Mass,float,,
BIA-BIA_LST,23.6201,4683.71,67.30188282270217,108.70591791478265,11816.976589695461,56.9964,1969,3960,Bio-electric Impedance Analysis,Lean Soft Tissue,float,,
BIA-BIA_SMM,4.65573,3607.69,34.38946621295831,84.05060718024538,7064.504567367915,27.4151,1969,3960,Bio-electric Impedance Analysis,Skeletal Muscle Mass,float,,
BIA-BIA_TBW,20.5892,5690.91,53.998726167754896,129.36253858881335,16734.66639014222,44.987,1969,3960,Bio-electric Impedance Analysis,Total Body Water,float,,
PAQ_A-PAQ_A_Total,0.66,4.71,2.1788526315789474,0.8494759413080535,0.7216093748612036,2.01,3485,3960,Physical Activity Questionnaire (Adolescents),Activity Summary Score (Adolescents),float,,
PAQ_C-PAQ_C_Total,0.58,4.79,2.589549680418361,0.7839366527869115,0.6145566755827466,2.54,2239,3960,Physical Activity Questionnaire (Children),Activity Summary Score (Children),float,,
SDS-SDS_Total_Raw,17.0,96.0,41.08892295898812,10.427432736733833,108.73135347910842,39.0,1351,3960,Sleep Disturbance Scale,Total Raw Score,int,,
SDS-SDS_Total_T,38.0,100.0,57.76362240982348,13.196090728694728,174.13681051994294,55.0,1354,3960,Sleep Disturbance Scale,Total T-Score,int,,
PreInt_EduHx-computerinternet_hoursday,0.0,3.0,1.0605877006967586,1.0948754543617427,1.1987522605638328,1.0,659,3960,Internet Use,Hours of using computer/internet,categorical int,"0,1,2,3","0=Less than 1h/day, 1=Around 1h/day, 2=Around 2hs/day, 3=More than 3hs/day"
